,time,magnitude
0,0.0,1712266
1,13.0,6305
2,14.0,818
3,14.0,451
4,15.0,2799
5,18.0,9038
6,18.0,55880
7,18.0,2428
8,20.0,261
9,24.0,2507
10,27.0,479
11,31.0,1701
12,35.0,57
13,35.0,1806
14,35.0,200
15,37.0,145
16,39.0,581
17,40.0,483
18,40.0,6080
19,43.0,246
20,44.0,408
21,45.0,814
22,46.0,239
23,47.0,1311
24,48.0,266
25,48.0,82
26,50.0,353
27,52.0,467
28,54.0,67
29,55.0,534
30,62.0,3570
31,65.0,614
32,66.0,1158
33,68.0,871
34,70.0,1522
35,70.0,91
36,73.0,1
37,77.0,5718
38,78.0,241
39,80.0,552
40,80.0,5881
41,83.0,2722
42,85.0,2161
43,86.0,53
44,88.0,302
45,89.0,256
46,89.0,92
47,90.0,41
48,93.0,119
49,96.0,598
50,97.0,426
51,97.0,1555
52,100.0,1245
53,101.0,944
54,103.0,691
55,104.0,623
56,106.0,1449
57,106.0,368
58,107.0,542
59,111.0,54
60,113.0,251
61,115.0,371
62,115.0,2008
63,116.0,2779
64,116.0,483
65,117.0,70
66,118.0,13934
67,119.0,3520
68,123.0,446
69,123.0,10820
70,127.0,2939
71,130.0,157
72,131.0,278
73,131.0,4857
74,131.0,236
75,133.0,2367
76,134.0,1895
77,136.0,614
78,137.0,77
79,145.0,211
80,146.0,2354
81,146.0,1986
82,154.0,147
83,154.0,196
84,155.0,280
85,158.0,97
86,159.0,2514
87,160.0,55
88,161.0,102
89,168.0,178
90,174.0,59
91,175.0,327
92,177.0,24
93,181.0,1604
94,183.0,146
95,184.0,239
96,186.0,1092
97,191.0,2456
98,191.0,19919
99,195.0,935
100,195.0,1824
101,196.0,6
102,196.0,4136
103,197.0,103
104,199.0,4589
105,200.0,9
106,201.0,2
107,204.0,189
108,205.0,669
109,207.0,93
110,210.0,497
111,210.0,2747
112,211.0,573
113,211.0,568
114,214.0,1185
115,216.0,715
116,217.0,3185
117,219.0,9700
118,221.0,537
119,222.0,435
120,224.0,991
121,224.0,378
122,224.0,4546
123,227.0,1399
124,229.0,1158
125,229.0,635
126,230.0,117
127,233.0,24
128,236.0,1264
129,239.0,59
130,242.0,180
131,244.0,5300
132,244.0,2399
133,244.0,732
134,248.0,877
135,250.0,3439
136,250.0,3508
137,251.0,6750
138,252.0,1793
139,253.0,57
140,253.0,938
141,256.0,16730
142,258.0,338
143,260.0,983
144,260.0,24
145,264.0,38
146,264.0,404
147,269.0,1703
148,270.0,1020
149,270.0,2128
150,271.0,6570
151,272.0,177
152,273.0,4852
153,274.0,1019
154,276.0,923
155,276.0,275
156,277.0,635
157,282.0,59
158,282.0,548
159,282.0,109
160,284.0,223
161,301.0,197
162,301.0,3594
163,308.0,3393
164,313.0,3558
165,314.0,862
166,315.0,2232
167,316.0,74
168,316.0,3468
169,323.0,735
170,327.0,357
171,332.0,5453
172,333.0,3144
173,334.0,193
174,335.0,11227
175,338.0,344
176,338.0,109
177,339.0,1987
178,341.0,166
179,343.0,74
180,344.0,1347
181,345.0,5122
182,346.0,1962
183,349.0,178
184,350.0,3619
185,352.0,1296
186,353.0,464
187,355.0,77
188,355.0,1155
189,360.0,566
190,360.0,509
191,364.0,364
192,364.0,189
193,364.0,46
194,366.0,343
195,367.0,880
196,367.0,46
197,368.0,2275
198,368.0,1038
199,372.0,183
200,375.0,4534
201,377.0,2438
202,378.0,2361
203,380.0,107
204,380.0,1734
205,381.0,2506
206,382.0,115
207,386.0,7759
208,388.0,3230
209,388.0,1540
210,391.0,74
211,391.0,16669
212,393.0,237
213,394.0,376
214,398.0,166
215,400.0,2834
216,400.0,2339
217,401.0,1339
218,404.0,15333
219,404.0,4003
220,405.0,4930
221,406.0,36
222,407.0,5169
223,408.0,592
224,409.0,1963
225,412.0,60
226,417.0,3090
227,426.0,3333
228,427.0,215
229,441.0,262
230,445.0,510
231,446.0,185
232,449.0,105
233,450.0,604
234,450.0,9913
235,450.0,2703
236,461.0,15
237,464.0,335
238,466.0,343
239,466.0,510
240,469.0,194
241,470.0,590
242,471.0,96
243,473.0,1319
244,474.0,3828
245,475.0,1617
246,477.0,164
247,478.0,240
248,480.0,6
249,484.0,1774
250,484.0,193
251,484.0,161
252,485.0,2401
253,486.0,63
254,488.0,488
255,491.0,275
256,494.0,461
257,494.0,6975
258,495.0,149
259,498.0,37
260,500.0,36
261,501.0,155
262,502.0,691
263,502.0,160
264,504.0,2018
265,507.0,165
266,509.0,4929
267,511.0,143
268,511.0,302
269,512.0,1952
270,513.0,99
271,515.0,2354
272,521.0,240
273,522.0,10326
274,523.0,238
275,526.0,1424
276,527.0,120
277,530.0,1972
278,533.0,664
279,536.0,1099
280,537.0,106
281,540.0,2011
282,540.0,1012
283,540.0,1650
284,546.0,52
285,547.0,2957
286,557.0,529
287,559.0,4050
288,569.0,26826
289,578.0,545
290,579.0,35
291,579.0,326
292,584.0,2378
293,586.0,395
294,590.0,9463
295,590.0,9805
296,593.0,29591
297,593.0,47
298,593.0,180
299,593.0,2969
300,595.0,40
301,598.0,308
302,598.0,89
303,599.0,273
304,603.0,129
305,603.0,153
306,609.0,4082
307,610.0,2475
308,611.0,1179
309,615.0,628
310,618.0,425
